컬럼명(AS-IS),컬럼명(TO-BE)
COMMAND_JOB,CMD_JOB
COMMAND_LINE,CMD_LINE
COMMAND_NO,CMD_NO
COMMAND_OTHER,CMD_ETC
COMMAND_SEQ,CMD_SEQ
COMMAND_STATUS,CMD_STAT
COMMAND_WORK,CMD_WORK
COMMAND_YMD,CMD_YMD
INSERT_DT,INS_DT
INSERT_ID,INSPERS_ID
RESULT_MSG,RSLT_MSG
UPDATE_DT,MOD_DT
UPDATE_ID,MODPERS_ID
CMS_AUTH_RES_TIME,CMS_CERT_RES_TM
CMS_MEM_REQ_TIME,CMS_MB_REQ_TM
CMS_MEM_RES_TIME,CMS_MB_RES_TM
CMS_PAY_REQ_TIME,CMS_PAY_REQ_TM
CMS_PAY_RES_TIME,CMS_PAY_RES_TM
CUST_PW,CUST_PWD
FLAG_MEM_REQ_YN,MB_REQ_YN
FLAG_PAY_REQ_YN,PAY_REQ_YN
FMS_CONNECT_SERVER_TYPE,FMS_CONNECT_SVR_TYPE
FMS_IP_ADDR,FMS_IP
PAYMENT_METHOD,PAY_METHOD
POLLING_COMMAND_CYCLE,POLLING_CMD_CYCLE
PRGM_ID,PGM_ID
PRGM_PWD,PGM_PWD
SERVICE_CD,SVC_CD
SERVICE_MODE,SVC_MODE
SERVICE_NM,SVC_NM
CRETE_TB_NAME,CRET_TB_NM
FLAG,GBN
APPROVAL_DATE,APPRV_DAY
APPROVAL_EMAIL,APPRV_EMAIL
APPROVAL_FINISH_MONEY,APPRV_END_AMT
APPROVAL_MONEY,APPRV_AMT
APPROVAL_NUMBER,APPRV_NO
APPROVAL_PHONE,APPRV_TEL
CANCEL_DATE,CANC_DAY
CHARGE_MONTH,DEMD_MON
CREDIT_NUM,CARD_NO
CREDIT_PASSWD,CARD_PWD
CREDIT_USER_BIRTHDAY,CARD_USER_BIRTHDAY
CREDIT_VALID_MM,CARD_VALID_MON
CREDIT_VALID_YEAR,CARD_VALID_YEAR
MEMBER_ID,MB_ID
MEMBER_NM,MB_NM
ORI_APPROVAL_DATE,ORG_APPRV_DAY
ORI_APPROVAL_TELE_NUM,ORG_APPRV_TEL
ORI_DATA_SEQ,ORG_DATA_SEQ
PROC_DETAIL,PROC_DTL
PROC_DT,PROC_DAY
RESULT,RSLT
RESULT_CD,RSLT_CD
TELEGRAM_NUM,TELEGRAM_NO
TRAN_STATUS,TXN_STAT
VAT_MONEY,ATAX
WITHDRAW_CHARGE,WDRW_COMIS
DATA_KIND,DATA_TYPE
OBJ_DEPOSIT_DAY,OBJ_DPST_DAY
PROC_KIND,PROC_TYPE
RECV_RESULT,RECV_RSLT
RECV_RESULT_CD,RECV_RSLT_CD
RECV_RESULT_MSG,RECV_RSLT_MSG
BANK_CODE,BANK_CD
DEPOSIT,DPST_AMT
DEPOSIT_DAY,DPST_DAY
DEPOSIT_NAME,DPSTPERS
TRANSACTION_KIND,TXN_TYPE
TRANSACTION_NO,TXN_NO
VIRTUAL_ACCOUNT_NUM,VIRTUAL_ACCN_NO
CHANGE_TYPE,CHG_TYPE
ACCOUNT_NM,DPSTR
ONE_TIME_YN,ONETM_YN
PAY_CHECK_YN,PAY_CHK_YN
ACCU_BRAN,ACCU_BRAN_CD
ACCU_NUM,ACCU_NO
COMPN_DAY,END_DAY
EVT_NUM,EVT_NO
INS_DATE,INS_DT
INSPRES_ID,INSPERS_ID
MOD_DATE,MOD_DT
MODPRES_ID,MODPERS_ID
REPT_DAY,DPST_DAY
REPT_GBN,DPST_GBN
REPT_NUM,DPST_NO
REQ_ADDT_AMT,REQ_ADD_AMT
SOL_ADDT_AMT,SOL_ADD_AMT
STAFF_CD,STAFF_NO
STAFF_NUM,STAFF_NO
FILE_TEMPNM,FILE_TEMP_NM
MEMO_NUM,MEMO_NO
SNUM,SN
UDTKPRES_ID,UDTKPERS_ID
APPRV_NUM,APPRV_NO
BILL_KND,BILL_TYPE
BILL_NUM,BILL_NO
DEMD_NUM,DEMD_NO
ISS_COMPL_YN,ISS_END_YN
SUPPBSCON_CD,SUPP_BSCON_CD
TOT_ADDT_AMT,TOT_ADD_AMT
TOT_EADDT_AMT,TOT_EADD_AMT
DISP_DAY,SEND_DAY
BANKNM,BANK_NM
BRAN_PHON,BRAN_TEL
MONPRNCFEE,MON_FAMT_AMT
ONLINE_NUM,ON_NO
IUDFLAG,PROC_GBN
PROC_DATE,PROC_DT
PROCPRES_ID,PROCPERS_ID
ALLADDR,ALL_ADDR
ATTE,SIDO
DSRCCNTY,SGG
HNM,LOTNO
POST_SNUM,POST_SN
UPSO_ADDR1,UPSO_ADDR
UPSO_ADDR2,UPSO_ADDR_DTL
ADDT_AMT,ADD_AMT
ATAX_AMT,ATAX
EADDT_AMT,EADD_AMT
RETURN_NUM,RETURN_NO
REPT_AMT,DPST_AMT
REPT_MNG_RATE,DPST_MNG_RATE
REPT_YRMN,DPST_YRMN
BSCONHAN_NM,BSCON_KO_NM
MOD_ID,MODPERS_ID
GRADNM,GRAD_NM
STNDAMT,STND_AMT
STNDAREA_END,STND_AREA_END
STNDAREA_START,STND_AREA_START
