ASIS,TOBE
TBRA_BPAP_PRNT_HISTY,TBRA_BPAP_PRNT_HIST
TBRA_BRANCHG_HISTY,TBRA_BRAN_CHG_HIST
TBRA_BRANEND,TBRA_BRAN_END
TBRA_BRANEND_HISTORY,TBRA_BRAN_END_HIST
TBRA_BRANZIP_MNG,TBRA_BRAN_ZIP_MNG
TBRA_BSCON_CONTRINFO,TBRA_BSCON_CONTR_INFO
TBRA_BSCON_DEMD_UPLOAD,TBRA_BSCON_DEMD_INFO
TBRA_BSCON_RETURN,TBRA_BSCON_DPST_RETURN
TBRA_BSCON_RETURN_NOTE,TBRA_BSCON_DPST_RETURN_NOTE
TBRA_BSCON_UPSOMAPPING,TBRA_BSCON_UPSO_MAPPING
TBRA_BSTYPGRAD,TBRA_BSTYP_GRAD
TBRA_BSTYP_NONPY_PRCON_HISTORY,TBRA_BSTYP_NONPY_PRCON_HIST
TBRA_CONFIRM_DOC,TBRA_CNFM_DOC
TBRA_CONFIRM_DOC_ATTCH,TBRA_CNFM_DOC_ATTCH
TBRA_DEMD_AUTO_MM,TBRA_DEMD_AUTO_MON
TBRA_DEMD_CARD_MM,TBRA_DEMD_CARD_MON
TBRA_DEMD_REPT,TBRA_DEMD_DPST
TBRA_DEMD_REPT_BSCON,TBRA_DEMD_DPST_BSCON
TBRA_DEMD_OCR,TBRA_DEMD_GIRO
TBRA_DEMD_OCR_MM,TBRA_DEMD_GIRO_MON
TBRA_DEMD_INDTN_MM,TBRA_DEMD_INDTN_MON
TBRA_REPT,TBRA_DPST
TBRA_REPT_AUTO,TBRA_DPST_AUTO
TBRA_REPT_BALANCE,TBRA_DPST_BALANCE
TBRA_REPT_BALANCE_HISTY,TBRA_DPST_BALANCE_HIST
TBRA_REPT_CARD,TBRA_DPST_CARD
TBRA_REPT_CARD_REQ,TBRA_DPST_CARD_PAY_REQ
TBRA_REPT_ACK_ISS,TBRA_DPST_CNFM_ISS
TBRA_REPT_DISTR,TBRA_DPST_DISTR
TBRA_REPT_ERR,TBRA_DPST_ERR
TBRA_REPT_OCR,TBRA_DPST_GIRO
TBRA_DEPO_MON,TBRA_DPST_MON
